lon,lat,ds_sd
137.16,33.315,1.2256
133.04,31.721,9.4657
133.09,31.792,11.031
134.36,32.229,0.32185
132.35,30.824,-16.109
132.46,30.728,-6.8564
132.45,30.801,-8.8335
132.25,30.734,-16.831
132.31,30.746,-14.579
138.07,34.112,17.566
136.48,33.099,7.0477
138.42,34.25,1.2535
137.29,33.538,7.6646
137.27,33.474,5.8998
137.34,33.439,3.5893
133.39,31.948,4.1328
133.36,31.879,3.5899
137.62,33.906,24.575
137.56,33.84,20.78
137.58,33.743,14.398
137.7,33.718,9.1904
138.13,33.934,5.5183
138.12,33.995,8.54
137.94,33.862,9.4518
135.68,32.692,0.0030037
135.85,32.889,8.2873
135.79,32.959,13.467
134.76,32.965,24.186
134.85,32.99,19.521
135.2,32.886,5.1221
135.06,32.85,5.3492
135.15,32.828,3.6031
134.99,32.689,2.8936
133.66,32.019,0.11815
133.67,32.077,0.46514
138.31,34.339,17.132
138.32,34.27,12.146
138.37,34.415,16.797
133.86,32.124,-0.0022223
133.9,32.059,-0.34872
136.1,33.046,15.758
133.6,31.764,-0.0479
133.44,31.825,1.025
133.55,31.834,0.090464
133.52,31.719,0.017383
133.52,31.668,-0.0024909
133.17,31.599,1.943
133.09,31.629,5.2942
133.37,31.643,0.16791
133.3,31.602,0.17451
133.23,31.65,1.4448
132.61,30.486,0.013916
132.47,30.585,-1.8884
132.48,30.497,-0.67062
132.55,30.446,-0.0019285
132.86,31.064,0.0040835
132.78,31.045,-0.058249
132.88,31.122,-0.042608
134.85,32.755,8.7406
134.91,32.859,10.986
134.83,32.834,12.499
137.19,33.737,16.646
137.27,33.732,16.492
137.29,33.664,13.744
136.82,33.51,12.969
136.9,33.566,12.696
136.96,33.432,6.7944
134.96,32.643,1.8925
134.89,32.624,2.3876
136.56,32.995,1.4137
136.5,33.018,3.9936
135.57,32.828,3.6796
135.63,32.932,10.304
135.66,32.861,6.5361
136.27,33.028,10.251
136.34,33.022,7.5852
136.5,33.244,13.832
136.54,33.169,9.1654
134.53,32.38,2.9458
134.49,32.463,7.8317
135.33,32.737,0.65751
135.39,32.674,-0.0018299
134.3,32.46,9.6224
138.1,33.799,0.86265
138.21,33.822,-0.0015331
134.66,32.555,6.6613
134.56,32.563,11.745
133.21,31.788,6.1015
133.24,31.866,7.1983
134.46,32.229,0.0039518
134.52,32.291,0.72045
134.91,32.929,13.299
137.95,34.021,19.837
138.04,34.032,15.283
138.51,34.489,0.11251
138.45,34.419,2.3181
137.06,33.575,10.706
136.98,33.534,9.7361
136.13,33.132,19.388
136.22,33.12,16.011
135.58,32.741,1.0529
135.5,32.684,0.001041
134.94,32.457,0.021037
138.25,34.148,10.064
138.18,34.105,10.442
137.01,33.364,4.3291
137.11,33.386,3.455
137.43,33.298,0.0013697
134.32,32.136,1.2416e-05
134.25,32.128,0.078869
137.78,33.95,22.481
137.89,33.941,16.904
