latitude,longitude,depth,ew,ns,ew_error,ns_error,ew_normal,ns_normal,ud_normal
41.13413,144.0004,-15.1244,-0.00133,0.000484,0.107115,0.143439,-0.12285,0.115812,0.985645
40.83392,138.9995,-201.393,-0.00133,0.000484,0.081923,0.081365,-0.5122,0.064149,0.856469
40.83395,139.3665,-182.942,0.010299,-0.00222,0.062737,0.06268,-0.52015,0.062022,0.851819
40.83396,139.6996,-165.417,0.044718,-0.01231,0.041624,0.042554,-0.51976,0.055038,0.852541
40.83397,140.0667,-146.873,0.07806,-0.025,0.035176,0.036776,-0.51097,0.041503,0.858599
40.83398,140.4327,-128.652,0.108184,-0.04697,0.03137,0.033056,-0.50842,0.027686,0.860667
40.83398,140.7998,-110.284,0.114823,-0.07832,0.028538,0.029653,-0.51729,0.019165,0.855597
40.83399,141.1329,-92.9805,0.085648,-0.11327,0.027435,0.027771,-0.53523,0.026022,0.844309
40.83399,141.4999,-72.9393,0.021263,-0.13771,0.028418,0.027656,-0.5214,0.040545,0.852351
40.83399,141.867,-54.8584,-0.04873,-0.12801,0.029953,0.027601,-0.44394,0.043897,0.894981
40.83399,142.2,-43.2971,-0.09001,-0.09171,0.030138,0.030314,-0.32859,0.043232,0.943485
40.83399,142.5671,-34.1544,-0.09641,-0.0494,0.030235,0.039218,-0.25595,0.040242,0.965853
40.83399,142.9332,-26.8857,-0.07733,-0.01872,0.035067,0.054481,-0.20731,0.037108,0.977572
40.83398,143.3002,-21.0739,-0.05195,-0.00479,0.048651,0.07533,-0.17082,0.036145,0.984639
40.83398,143.6333,-16.7799,-0.02202,0.002084,0.078003,0.109523,-0.14172,0.039104,0.989135
40.83397,144.0003,-12.686,-0.00133,0.000484,0.099979,0.133403,-0.13107,0.044139,0.99039
40.53378,138.9995,-200.005,-0.00105,-0.00011,0.076826,0.075869,-0.51862,0.064931,0.852537
40.53381,139.3666,-180.908,0.016932,-0.0074,0.058657,0.058626,-0.51965,0.066564,0.851785
40.53382,139.6996,-163.585,0.052846,-0.02102,0.039258,0.040961,-0.51344,0.062121,0.855874
40.53384,140.0667,-145.156,0.083008,-0.03492,0.033872,0.036407,-0.50292,0.058134,0.862376
40.53384,140.4328,-127.38,0.107612,-0.05639,0.03052,0.032754,-0.49837,0.054129,0.865273
