latitude,longitude,depth,ew,ns,ew_error,ns_error,ew_normal,ns_normal,ud_normal
40.83392,138.9995,-201.393,0.000484,0.001329,3.336018,3.380366,-0.5122,0.064149,0.856469
40.83395,139.3665,-182.942,-2.13062,1.463272,2.395993,2.528363,-0.52015,0.062022,0.851819
40.83396,139.6996,-165.417,-0.17945,0.878104,1.739906,1.877964,-0.51976,0.055038,0.852541
40.83397,140.0667,-146.873,1.355394,0.122752,1.655113,1.715134,-0.51097,0.041503,0.858599
40.83398,140.4327,-128.652,0.577416,0.137855,1.513597,1.544403,-0.50842,0.027686,0.860667
40.83398,140.7998,-110.284,-0.17684,0.151585,1.356951,1.393872,-0.51729,0.019165,0.855597
40.83399,141.1329,-92.9805,0.219976,-0.20739,1.232995,1.262428,-0.53523,0.026022,0.844309
40.83399,141.4999,-72.9393,0.195626,-0.22138,1.106942,1.127525,-0.5214,0.040545,0.852351
40.83399,141.867,-54.8584,-0.575,0.10847,1.155528,1.14923,-0.44394,0.043897,0.894981
40.83399,142.2,-43.2971,-1.07237,0.334019,1.353893,1.29925,-0.32859,0.043232,0.943485
40.83399,142.5671,-34.1544,-0.34688,0.336877,1.566821,1.681679,-0.25595,0.040242,0.965853
40.83399,142.9332,-26.8857,0.784585,0.023928,1.810388,2.199619,-0.20731,0.037108,0.977572
40.83398,143.3002,-21.0739,1.054633,-0.15201,2.338492,2.990324,-0.17082,0.036145,0.984639
40.83398,143.6333,-16.7799,0.619007,-0.1229,4.023593,4.822873,-0.14172,0.039104,0.989135
40.83397,144.0003,-12.686,0.000484,0.001329,5.455878,6.292451,-0.13107,0.044139,0.99039
40.53378,138.9995,-200.005,-0.00133,0.000484,3.292246,3.25624,-0.51862,0.064931,0.852537
40.53381,139.3666,-180.908,-2.60971,1.650337,2.386587,2.457048,-0.51965,0.066564,0.851785
40.53382,139.6996,-163.585,-0.13081,0.865004,1.767867,1.839821,-0.51344,0.062121,0.855874
40.53384,140.0667,-145.156,1.524111,0.047595,1.660084,1.676959,-0.50292,0.058134,0.862376
40.53384,140.4328,-127.38,0.216472,0.258654,1.479698,1.50663,-0.49837,0.054129,0.865273
40.53385,140.7998,-109.469,-0.34695,0.223393,1.325036,1.35722,-0.51565,0.047144,0.855499
40.53385,141.1329,-91.4565,0.674134,-0.52379,1.190625,1.233979,-0.54355,0.042759,0.838289
40.53385,141.4999,-70.533,0.101402,-0.50654,1.054978,1.084645,-0.5207,0.037037,0.852939
40.53385,141.867,-53.4073,-0.07404,-0.10571,1.070375,1.095501,-0.43276,0.031839,0.900947
40.53385,142.2,-42.2865,-1.04467,0.197996,1.309784,1.239666,-0.31947,0.025276,0.947261
40.53385,142.5671,-33.4718,-0.7828,0.407385,1.546032,1.604613,-0.24951,0.017532,0.968213
40.53385,142.9331,-26.2788,0.809777,0.011278,1.763779,2.197385,-0.20396,0.012322,0.978903
40.53385,143.3002,-20.5215,1.357053,-0.25506,2.250364,3.024424,-0.17044,0.010812,0.98531
40.53384,143.6333,-16.1111,0.86703,-0.21103,3.877406,4.826673,-0.14412,0.011826,0.98949
40.53383,144.0003,-11.9531,0.000484,0.001329,5.273008,6.257982,-0.13343,0.015453,0.990938
40.23366,138.9996,-197.698,-0.00133,0.000484,3.196682,3.081947,-0.51662,0.077154,0.852734
40.23369,139.3666,-178.768,-2.74244,1.624524,2.347874,2.344252,-0.51619,0.08017,0.852715
40.2337,139.6997,-161.64,0.354296,0.582321,1.7604,1.785363,-0.50899,0.08174,0.856882
40.23371,140.0667,-143.238,1.933663,-0.18479,1.623313,1.626421,-0.50034,0.076494,0.862446
40.23372,140.4328,-125.122,-0.32719,0.448112,1.431894,1.46532,-0.49606,0.066007,0.865776
40.23372,140.7998,-107.21,-0.79595,0.465869,1.312319,1.333899,-0.50818,0.06031,0.859136
40.23373,141.1329,-89.9685,0.885578,-0.64158,1.170167,1.208862,-0.52827,0.051906,0.847486
40.23373,141.4999,-70.2784,-1.08585,-0.53648,1.032187,1.058031,-0.51267,0.030436,0.858049
40.23373,141.867,-52.535,-0.1499,-0.24887,0.971597,1.014015,-0.433,0.024106,0.90107
40.23373,142.2,-41.4595,-0.74416,0.170072,1.206487,1.206258,-0.31342,0.020535,0.949391
40.23373,142.5671,-32.8634,-0.81508,0.378999,1.497724,1.499037,-0.24183,0.014448,0.970211
40.23373,142.9331,-25.9338,1.031499,-0.13439,1.722576,2.092753,-0.19913,0.007867,0.979942
40.23372,143.3002,-20.1906,1.605393,-0.3814,2.17261,2.965578,-0.16889,0.00515,0.985621
40.23372,143.6332,-15.82,1.028919,-0.28188,3.761035,4.79262,-0.14592,0.005146,0.989283
40.23371,144.0003,-11.4432,0.000484,0.001329,5.136986,6.21605,-0.13854,0.009192,0.990314
39.96697,138.9996,-195.602,-0.00133,0.000484,3.07841,2.932974,-0.52099,0.083112,0.849509
39.96699,139.3667,-176.16,-2.50284,1.422191,2.281537,2.245059,-0.52193,0.084666,0.848778
39.96701,139.6997,-158.479,1.18085,0.15786,1.731707,1.736771,-0.50877,0.088511,0.856342
39.96702,140.0668,-140.308,2.610658,-0.43404,1.588066,1.590229,-0.48871,0.084348,0.868357
39.96702,140.4328,-123.295,-0.31106,0.544349,1.420358,1.438483,-0.48425,0.07194,0.871968
39.96703,140.7999,-105.547,-0.79009,0.513553,1.290504,1.309582,-0.50785,0.061194,0.859269
39.96703,141.1329,-87.782,1.037883,-0.70327,1.159775,1.193388,-0.52253,0.062321,0.850341
39.96703,141.4999,-68.726,-0.24366,-0.57946,1.015893,1.058997,-0.49813,0.049331,0.865698
39.96703,141.867,-51.765,0.152371,0.096427,0.948916,0.984878,-0.42133,0.033833,0.906278
39.96703,142.2,-40.856,-0.65517,0.298693,1.127798,1.20062,-0.30595,0.016428,0.951907
39.96703,142.5671,-32.4273,-0.35149,-0.07881,1.440378,1.456067,-0.23578,0.009806,0.971756
39.96703,142.9331,-25.6785,1.144917,-0.37603,1.67492,2.007371,-0.19418,0.004869,0.980954
39.96703,143.3002,-20.0503,1.818802,-0.52605,2.139683,2.910247,-0.16691,0.002569,0.985968
39.96702,143.6332,-15.6601,1.228546,-0.36875,3.741643,4.775204,-0.14773,0.003776,0.989021
39.96702,144.0002,-11.1704,0.000484,0.001329,5.118956,6.210555,-0.14222,0.008088,0.989802
39.66687,138.9997,-192.84,-0.00133,0.000484,2.959707,2.834086,-0.51585,0.089558,0.851985
39.6669,139.3667,-173.765,-1.98981,1.076034,2.203352,2.176732,-0.51966,0.087101,0.849922
39.66691,139.6998,-156.006,1.886891,-0.27709,1.703479,1.695994,-0.5073,0.082893,0.857773
